cell_id,lat,lon,distance_km,G_WSM,G_CMT,G_v04b_total,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab,G_v04c_total,T13_exact_none_%,T18_exact_none_%,T13_ever_none_%,T18_ever_none_%,T13_first_none_%,T18_first_none_%,T13_exact_v03_%,T18_exact_v03_%,T13_ever_v03_%,T18_ever_v03_%,T13_first_v03_%,T18_first_v03_%,T13_exact_v04a_%,T18_exact_v04a_%,T13_ever_v04a_%,T18_ever_v04a_%,T13_first_v04a_%,T18_first_v04a_%,T13_exact_v04b_%,T18_exact_v04b_%,T13_ever_v04b_%,T18_ever_v04b_%,T13_first_v04b_%,T18_first_v04b_%,T13_exact_v04c_%,T18_exact_v04c_%,T13_ever_v04c_%,T18_ever_v04c_%,T13_first_v04c_%,T18_first_v04c_%,DeltaEver_v04c_vs_v04b_T18_pp,DeltaExact_v04c_vs_v04b_T18_pp,Rank_first_v04c_T18,Rank_ever_v04c_T18
30,-57.5,132.5,10020.085888640584,1.3142857890312687,1.0,1.3142857890312687,False,0,,,,,,0.0,0.0,0.5,1.0,1.3142857890312687,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.0,913,918
31,-57.5,137.5,10038.94928369279,1.3483948333841957,1.0,1.3483948333841957,False,0,,,,,,0.0,0.0,0.5,1.0,1.3483948333841957,0.0,0.03,0.0,0.05,0.0,0.03,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.0,818,618
32,-57.5,142.5,10079.60725808336,1.3471615907828922,1.0,1.3471615907828922,False,0,,,,,,0.0,0.0,0.5,1.0,1.3471615907828922,0.0,0.03,0.0,0.07,0.0,0.06,0.0,0.01,0.0,0.07,0.0,0.06,0.0,0.01,0.0,0.07,0.0,0.06,0.0,0.01,0.0,0.07,0.0,0.06,0.0,0.01,0.0,0.07,0.0,0.06,0.0,0.0,240,339
33,-57.5,147.5,10141.756080937885,1.3312150000098835,1.0,1.3312150000098835,False,0,,,,,,0.0,0.0,0.5,1.0,1.3312150000098835,0.0,0.03,0.02,0.06,0.02,0.06,0.0,0.02,0.02,0.06,0.02,0.06,0.0,0.02,0.02,0.06,0.02,0.06,0.0,0.02,0.02,0.06,0.02,0.06,0.0,0.02,0.02,0.06,0.02,0.06,0.0,0.0,240,472
34,-57.5,152.5,10224.93971446313,1.2953234086296685,1.0,1.2953234086296685,False,0,,,,,,0.0,0.0,0.5,1.0,1.2953234086296685,0.0,0.04,0.01,0.1,0.01,0.07,0.0,0.04,0.01,0.1,0.01,0.07,0.0,0.04,0.01,0.1,0.01,0.07,0.0,0.04,0.01,0.1,0.01,0.07,0.0,0.04,0.01,0.1,0.01,0.07,0.0,0.0,135,83
35,-57.5,157.5,10328.562835634762,1.2387321926421768,1.0,1.2387321926421768,False,0,,,,,,0.0,0.0,0.5,1.0,1.2387321926421768,0.0,0.01,0.01,0.04,0.01,0.04,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.0,665,762
36,-57.5,162.5,10451.9068841147,1.1784538567584404,1.0,1.1784538567584404,False,0,,,,,,0.0,0.0,0.5,1.0,1.1784538567584404,0.0,0.03,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.0,366,472
37,-57.5,167.5,10594.148016456853,1.129687081828119,1.0,1.129687081828119,False,0,,,,,,0.0,0.0,0.5,1.0,1.129687081828119,0.0,0.06,0.02,0.1,0.02,0.05,0.0,0.06,0.02,0.11,0.02,0.05,0.0,0.06,0.02,0.11,0.02,0.05,0.0,0.06,0.02,0.11,0.02,0.05,0.0,0.06,0.02,0.11,0.02,0.05,0.0,0.0,366,40
38,-57.5,172.5,10754.375815394553,1.1140697777778856,1.0,1.1140697777778856,False,0,,,,,,0.0,0.0,0.5,1.0,1.1140697777778856,0.0,0.02,0.01,0.06,0.01,0.04,0.0,0.02,0.01,0.06,0.01,0.04,0.0,0.02,0.01,0.06,0.01,0.04,0.0,0.02,0.01,0.06,0.01,0.04,0.0,0.02,0.01,0.06,0.01,0.04,0.0,0.0,526,472
39,-57.5,177.5,10931.611676708488,1.102223753181199,1.0,1.102223753181199,False,0,,,,,,0.0,0.0,0.5,1.0,1.102223753181199,0.01,0.02,0.03,0.07,0.03,0.05,0.01,0.02,0.03,0.07,0.03,0.05,0.01,0.02,0.03,0.07,0.03,0.05,0.01,0.02,0.03,0.07,0.03,0.05,0.01,0.02,0.03,0.07,0.03,0.05,0.0,0.0,366,339
40,-52.5,-177.5,10711.590369217289,0.9930176326753591,1.0,0.9930176326753591,False,0,,,,,,0.0,0.0,0.5,1.0,0.9930176326753591,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.0,526,762
41,-52.5,-172.5,10945.01600691436,0.9698866390510856,1.0,0.9698866390510856,False,0,,,,,,0.0,0.0,0.5,1.0,0.9698866390510856,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.0,526,618
