cell_id,lat,lon,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab
112,-47.5,142.5,False,0,,,,,,0.0,0.0,0.5,1.0
113,-47.5,147.5,False,0,,,,,,0.0,0.0,0.5,1.0
114,-47.5,152.5,False,0,,,,,,0.0,0.0,0.5,1.0
115,-47.5,157.5,False,0,,,,,,0.0,0.0,0.5,1.0
116,-47.5,162.5,True,4852,puy,14.365302536093465,23.32162890563263,14.26679374960631,4.362777353792173,0.9435930655775733,0.5927375060396413,0.420810093762483,0.9530611724732612
117,-47.5,167.5,True,13288,puy,37.41483921133374,32.851357757898704,28.167683493578664,7.758192819059307,0.8870277467530486,0.3692656727174663,0.6519432232529673,1.0561074165493671
118,-47.5,172.5,False,0,,,,,,0.0,0.0,0.5,1.0
119,-47.5,177.5,False,0,,,,,,0.0,0.0,0.5,1.0
120,-42.5,-177.5,False,0,,,,,,0.0,0.0,0.5,1.0
121,-42.5,-172.5,False,0,,,,,,0.0,0.0,0.5,1.0
122,-42.5,-167.5,False,0,,,,,,0.0,0.0,0.5,1.0
123,-42.5,-162.5,False,0,,,,,,0.0,0.0,0.5,1.0
124,-42.5,-157.5,False,0,,,,,,0.0,0.0,0.5,1.0
125,-42.5,-152.5,False,0,,,,,,0.0,0.0,0.5,1.0
126,-42.5,-147.5,False,0,,,,,,0.0,0.0,0.5,1.0
127,-42.5,-142.5,False,0,,,,,,0.0,0.0,0.5,1.0
128,-42.5,-137.5,False,0,,,,,,0.0,0.0,0.5,1.0
129,-42.5,-132.5,False,0,,,,,,0.0,0.0,0.5,1.0
130,-42.5,-127.5,False,0,,,,,,0.0,0.0,0.5,1.0
131,-42.5,-122.5,False,0,,,,,,0.0,0.0,0.5,1.0
132,-42.5,-117.5,False,0,,,,,,0.0,0.0,0.5,1.0
133,-42.5,-112.5,False,0,,,,,,0.0,0.0,0.5,1.0
134,-42.5,-107.5,False,0,,,,,,0.0,0.0,0.5,1.0
135,-42.5,-102.5,False,0,,,,,,0.0,0.0,0.5,1.0
136,-42.5,-97.5,False,0,,,,,,0.0,0.0,0.5,1.0
137,-42.5,-92.5,False,0,,,,,,0.0,0.0,0.5,1.0
138,-42.5,-87.5,False,0,,,,,,0.0,0.0,0.5,1.0
139,-42.5,-82.5,False,0,,,,,,0.0,0.0,0.5,1.0
140,-42.5,-77.5,True,936,sam,8.787428592005346,6.373539841073123,6.603085908150818,3.984893300085065,0.9942123081253676,0.6167044717813271,0.19909186582069924,0.8144286080562496
141,-42.5,-72.5,True,7133,sam,60.394874165448776,23.91243861191997,5.406415121291505,8.2154047981981,0.9954562981973397,0.3610298023088226,0.6281894376461117,1.0462802073314548
142,-42.5,-67.5,True,884,sam,487.02565284531477,25.554631889224705,8.240628581173723,13.986816834969934,0.9769829205837824,0.14342716017330914,0.6665029599667038,1.0238810467084745
143,-42.5,97.5,False,0,,,,,,0.0,0.0,0.5,1.0
144,-42.5,102.5,False,0,,,,,,0.0,0.0,0.5,1.0
145,-42.5,107.5,False,0,,,,,,0.0,0.0,0.5,1.0
146,-42.5,112.5,False,0,,,,,,0.0,0.0,0.5,1.0
147,-42.5,117.5,False,0,,,,,,0.0,0.0,0.5,1.0
148,-42.5,122.5,False,0,,,,,,0.0,0.0,0.5,1.0
149,-42.5,127.5,False,0,,,,,,0.0,0.0,0.5,1.0
